generation,time,#candidates,#operators
1,1376.7911496162415,2,7
3,4231.474419116974,7,33
14,23792.184042215347,13,111
15,25178.80647087097,14,132
4,4834.734871149063,9,47
16,27168.452318668365,9,88
17,28681.959787607193,9,91
18,30379.42476248741,13,121
19,31983.980903863907,13,125
20,33916.86953806877,9,91
21,35850.226053237915,8,85
22,37146.187200546265,6,71
23,38563.72862815857,17,189
2,2657.293757200241,3,15
5,6848.451646089554,7,43
24,40560.896493434906,10,112
25,42548.28017783165,8,77
26,43654.599195957184,4,46
27,45483.33183979988,13,149
28,47382.628165245056,9,93
29,48550.02445745468,6,67
6,7826.120512008667,9,64
7,9700.544509887695,13,91
8,11767.804816961288,6,43
9,13556.250719308853,12,98
10,16030.302054405212,5,41
11,17805.091507911682,11,95
12,20290.48218011856,8,74
13,21743.705593824387,7,66
