generation,time,#candidates,#operators
0,118.41915249824524,2,6
3,1695.5892736911774,5,22
24,14439.153373003006,11,161
25,15236.925850868225,2,32
26,15516.53750705719,8,118
4,1837.4495568275452,5,17
27,16279.965152978897,5,68
28,17127.609183311462,1,7
29,18141.073660850525,1,17
5,2370.386881351471,2,10
6,2983.8617870807648,6,28
1,698.4346492290497,3,10
7,3816.367665052414,1,6
8,3948.149164199829,6,33
9,4576.277579069138,5,32
10,5209.388972759247,5,29
11,5947.233702421188,7,49
12,6711.065299034119,9,57
2,1261.6181321144104,1,3
13,7378.150122642517,7,47
14,8526.147837638855,1,3
15,8784.24512553215,3,20
16,9591.850081205368,1,3
17,9676.40437078476,8,67
18,10496.009490728378,3,21
19,11147.86184334755,1,6
20,11903.078722953796,2,21
21,12674.176051855087,3,27
22,12954.44520163536,4,51
23,13909.78544807434,4,53
