generation,time,#candidates,#operators
0,448.7250633239746,13,39
15,24241.537281036377,3,9
16,24972.04919195175,7,24
17,26541.514629364014,7,32
18,27798.96541905403,1,3
19,28903.62668967247,10,35
20,30918.155653238297,3,12
21,32842.088245630264,3,9
1,3353.549431324005,14,49
22,33777.30255270004,3,11
23,34859.26268815994,3,13
24,36299.915484428406,5,15
25,37671.70071721077,4,13
26,39278.14211559296,4,15
27,40840.965844631195,2,6
28,41694.07730507851,3,11
29,43048.09697127342,10,38
2,6074.664129257202,5,15
3,7222.787731409073,3,9
4,7764.582557439804,5,16
5,9317.127297878265,7,26
6,11090.219414949417,3,14
7,12365.726281881332,9,27
8,14011.46834230423,4,12
9,15216.860981464386,8,26
10,17465.714205741882,1,3
11,17698.30907678604,2,7
12,18476.572869062424,10,44
13,20228.63700723648,12,56
14,22443.615411520004,2,6
