generation,time,#candidates,#operators
0,321.8710763454437,4,12
1,1536.6141228675842,9,29
11,19099.10849261284,24,180
12,20886.179501771927,16,118
2,2147.146470308304,3,9
13,23947.548008918762,20,166
14,27276.438981056213,18,142
3,2658.318676710129,9,31
15,30155.72602081299,20,167
16,33114.12310862541,19,158
17,35236.00944328308,20,161
18,38684.428750514984,16,137
19,42792.35806965828,10,79
4,4174.3108739852905,13,45
20,46855.066400527954,11,102
21,50893.35901093483,13,125
22,55316.83983850479,6,58
23,61070.588168382645,9,83
24,67210.4217915535,9,99
25,73259.33592557907,5,44
26,77184.62246370316,11,120
27,81482.1625161171,4,51
28,87092.03556418419,4,46
29,91383.05344724655,8,96
5,6224.394302368164,2,10
6,6838.345134735107,4,17
7,8901.354282617569,6,32
8,9855.958328008652,7,31
9,11865.393781423569,13,78
10,14672.602644205093,21,156
