generation,time,#candidates,#operators
0,114.3134777545929,14,42
7,4546.330347776413,12,62
8,4864.251949071884,12,63
9,5425.035419464111,18,94
10,5980.435987472534,14,78
1,777.0803706645966,2,7
11,6676.761540651321,15,89
2,1167.8441846370697,16,57
12,7152.160895824432,16,84
13,8031.374277114868,13,78
14,8782.99568271637,8,50
15,9370.41262102127,9,62
16,10163.310752153397,16,107
17,10980.10770559311,19,120
18,11747.278309106827,9,54
19,12387.058794021606,6,41
20,12866.04089999199,8,56
21,13370.265008926392,19,128
22,14037.752932786942,11,75
23,14548.663175582886,13,95
24,15280.497485637665,12,99
3,1872.95636510849,12,52
25,16034.64344406128,7,62
26,16719.309406280518,9,76
27,17462.41350221634,5,49
28,18016.549001693726,2,20
29,18375.02396130562,4,40
4,2310.0295362472534,10,40
5,2922.698622941971,16,76
6,3560.262313604355,23,116
