generation,time,#candidates,#operators
0,875.1212985515594,6,18
1,6508.203471660614,13,48
9,29704.1258392334,14,100
10,30067.86283659935,12,77
11,31730.208965539932,10,68
12,34151.40754675865,22,152
13,36666.49636864662,16,115
14,39365.18527793884,11,75
15,41668.04943537712,15,108
16,44367.799105644226,6,48
2,8620.480940580368,7,29
17,47771.40950155258,2,12
18,50207.830579042435,6,42
19,52435.751965761185,10,75
20,55045.135103702545,4,38
21,59021.86492061615,23,209
22,62490.24115586281,8,63
23,64841.389564991,2,16
24,67852.50934553146,9,109
26,77768.26680445671,1,8
27,81889.812987566,1,8
28,84286.35286855698,10,138
3,12927.897166728973,3,13
29,91106.31976485252,1,8
4,14163.859224796295,11,53
5,16421.716730594635,2,10
6,18091.275995731354,10,58
7,21677.352604866028,17,101
8,24819.051466703415,18,136
