generation,time,#candidates,#operators
4,11167.357965946198,1,5
5,14966.326455831528,3,12
9,25897.47515654564,3,18
17,48797.5682721138,24,233
18,51070.11093091965,4,40
19,51809.3744597435,18,181
10,28692.173043489456,8,54
20,54821.573320150375,10,98
21,57144.99019360542,7,74
22,58235.63343048096,15,152
23,61538.03511142731,9,98
24,62950.58571386337,8,88
25,64937.43816947937,18,186
26,67333.98572134972,16,178
11,32881.833100795746,3,26
27,68949.45605111122,12,143
28,69949.42616200447,19,230
12,33924.556779146194,14,116
29,72224.48942351341,17,196
13,37140.20927643776,13,114
7,19830.540377378464,2,10
14,40130.69731140137,17,142
8,22432.10159945488,4,22
15,43390.296583890915,5,49
16,44853.36526012421,17,168
