generation,time,#candidates,#operators
11,3331.662817001343,1,6
13,3930.4763264656067,1,7
17,5044.181870698929,9,84
21,6754.5552587509155,27,301
22,6996.408102273941,35,410
23,7470.231390237808,22,246
24,7844.381929636002,36,434
18,5306.0683805942535,14,142
14,4185.6878979206085,4,31
25,8301.2219145298,30,376
26,8648.249282121658,39,489
27,9168.803013563156,27,358
28,9493.282247066498,30,426
19,5668.010315895081,37,402
29,9881.28109383583,26,379
15,4511.407490491867,1,8
16,4727.766761302948,3,26
20,6196.9678065776825,19,207
