generation,time,#candidates,#operators
1,4819.343848228455,1,1
2,17433.820550203323,3,6
6,40278.17887759209,4,19
16,82246.79636263847,17,158
17,87105.75492572784,9,84
18,90468.94945931435,14,125
8,46831.45039868355,4,24
19,96109.3394703865,9,89
20,99318.61291599274,6,51
21,101297.41839694977,20,188
9,51609.666697740555,10,64
22,106452.32197833061,18,185
23,111843.62066984177,7,76
24,115459.02226638794,14,142
25,118204.05989074707,15,169
26,123096.36782741547,22,246
27,128363.31771659851,19,214
28,133447.46932172775,11,118
10,57343.00464463234,11,81
29,136221.93977832794,22,267
11,62383.11289668083,9,71
3,24210.948494195938,1,3
12,65474.44525051117,2,18
13,66937.90934967995,19,154
4,29543.58584523201,1,3
5,31214.17027783394,3,12
14,74375.47729682922,7,57
15,76721.43857741356,20,171
