generation,time,#candidates,#operators
2,16597.8989508152,2,5
5,24676.48970913887,6,29
15,54357.90190386772,13,114
16,55218.30336141586,7,59
17,58109.292503118515,19,185
18,62428.60309624672,3,10
19,63947.869983673096,8,49
6,27926.86478662491,3,15
20,65627.41470837593,18,143
21,68642.5950062275,15,140
7,31050.855812072754,6,34
22,70887.80976080894,18,169
23,73321.68187570572,13,111
3,18135.212725162506,3,6
24,75031.25062060356,26,228
8,34813.44147133827,2,7
25,77798.21777868271,23,202
9,35402.18431186676,6,35
26,79778.15893983841,20,178
27,82046.00040364265,13,120
28,84015.66192245483,8,73
29,85519.36842918396,22,186
10,38880.29253935814,7,39
11,40906.20735192299,13,88
4,21629.48280119896,3,12
12,43911.39418935776,16,112
13,46645.893465042114,18,136
14,49563.106308698654,6,54
